Year,ClubLongName,ClubShortName,Points
2018,Seeclub Arbon,SC Arbon,3
2018,Aviron Romand Zürich,Aviron Romand Zürich,2
2018,Kantonsschule Wettingen,KS Wettingen,2
2018,Ruderclub Sarnen,RC Sarnen,2
2018,Société d'Aviron Fribourg,SA Fribourg,2
2018,Seeclub Sursee,SC Sursee,2
2018,Lausanne-Sports Section Aviron,Lausanne-Sports SA,1
2019,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,159
2019,Seeclub Zürich,SC Zürich,128
2019,Belvoir Ruderclub Zürich,Belvoir RC Zürich,104
2019,See-Club Zug,SC Zug,71
2019,Rowing Club Bern,RC Bern,69
2019,Basler Ruder-Club,Basler RC,58
2019,Ruderclub Baden,RC Baden,58
2019,Club Aviron Vevey,CA Vevey,50
2019,Ruderclub Blauweiss Basel,RC Blauweiss Basel,48
2019,Ruderclub Zürich,RC Zürich,42
2019,Ruderclub Thalwil,RC Thalwil,32
2019,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,24
2019,Seeclub Luzern,SC Luzern,21
2019,Solothurner Ruderclub,Solothurner RC,21
2019,Aviron Romand Zürich,Aviron Romand Zürich,13
2019,Seeclub Biel,SC Biel,11
2019,Club Aviron Vésenaz,CA Vésenaz,10
2019,Seeclub Sursee,SC Sursee,10
2019,Seeclub Stansstad,SC Stansstad,9
2019,Nordiska Roddföreningen Zürich,Nordiska Zürich,8
2019,Club Canottieri Lugano,CC Lugano,7
2019,Seeclub Küsnacht,SC Küsnacht,7
2019,Società Canottieri Locarno,SC Locarno,5
2019,Forward Rowing Club Morges,Forward RC Morges,4
2019,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,4
2019,Ruderclub Sarnen,RC Sarnen,4
2019,Rudergesellschaft Zürich,RG Zürich,4
2019,Seeclub Arbon,SC Arbon,4
2019,Ruderclub Aarburg,RC Aarburg,3
2019,Ruderclub Cham,RC Cham,3
2019,Lausanne-Sports Section Aviron,Lausanne-Sports SA,2
2019,Ruderclub Hallwilersee,RC Hallwilersee,2
2019,Ruderclub Schaffhausen,RC Schaffhausen,2
