2019	RC Aarburg	3
2019	RC Hallwilersee	2
2019	Lausanne Sports	2
2019	Ruderclub Schaffhausen	2
2019	SN Etoile Bienne	1
2019	Rowing Club Lausanne	1
2020	Seeclub Zürich	58
2020	Rowing Club Bern	56
2020	Grasshopper Club Zürich	46
2020	Ruder-Club Baden	33
2020	RC Blauweiss Basel	30
2020	Basler RC	26
2020	Belvoir RC Zürich	25
2020	Seeclub Zug	19
2020	CA Vevey	19
2020	Ruderclub Zürich	17
2020	Seeclub Luzern	15
2020	RC Schaffhausen	12
2020	FRC Morges	11
2020	Seeclub Biel	10
2020	Club Aviron Vésenaz	10
2020	Seeclub Küsnacht	10
2020	Polytechniker RC Zürich	8
2020	Solothurner RC	6
2020	RC Thalwil	6
2020	Lausanne Sports Aviron	5
2020	RC Hallwilersee	5
2020	RC Erlenbach	5
2020	Seeclub Sempach	4
2020	RC Rapperswil-Jona	4
2020	Club Aviron Vallée de Joux	4
2020	Ruderclub Sarnen	4
2020	Aviron Romand Zürich	4
2020	Ruderclub Aarburg	3
2020	Seeclub Sursee	2
2020	RC Cham	2
2020	RC Kaufleuten Zürich	2
2020	Club Canottieri Lugano	1
2020	Seeclub Arbon	1
2021	Club de l’Aviron Vevey	26
2021	Seeclub Zug	24
2021	Rowing Club Lausanne	18
2021	Basler Ruder‐Club	17
2021	Rowing Club Bern	14
2021	Belvoir Ruderclub Zürich	10
2021	Forward Rowing Club Morges	9
2021	Lausanne Sports, Section Aviron	7
2021	Club Canottieri Lugano	7
2021	Polytechniker Ruderclub Zürich	6
2021	Ruderclub Erlenbach	6
2021	Ruderclub Zürich	5
2021	Seeclub Zürich	5
2021	Société Nautique Genève, Section Aviron	4
2021	Ruderclub Blauweiss Basel	1
2022	Basler Ruder-Club	180
2022	Belvoir Ruderclub Zürich	151
2022	Rowing Club Bern	122
2022	Seeclub Zürich	114
2022	Grasshopper RC Zürich	106
2022	Ruderclub Thalwil	67
2022	Ruderclub Zürich	66
2022	Ruderclub Erlenbach	30
2022	Polytechniker Ruderclub Zürich	24
2022	Club Canottieri Lugano	22
2022	Solothurner RC	21
2022	Forward Rowing Club Morges	21
2022	Club de l’Aviron Vevey	20
2022	See-Club Zug	17
2022	Seeclub Luzern	14
2022	RC Schaffhausen	14
2022	Ruderclub Baden	13
2022	Ruderclub Uster	13
2022	Ruderclub Aarburg	11
2022	Ruderclub Blauweiss Basel	9
2022	Lausanne Sports Aviron	7
2022	Seeclub Küsnacht	7
2022	Aviron Romand Zürich	6
2022	Seeclub Sursee	5
2022	Società Canottieri Locarno	5
2022	RC Kaufleuten Zürich	4
2022	Club Aviron Ville Fribourg	2
2022	RC Sarnen	2
2022	RC Hallwilersee	2
2022	Rudergesellschaft Zürich	2
2022	Association Romande d’Aviron	2
2022	Société Nautique Neuchâtel	1
2022	Seeclub Sempach	1
2022	Société Nautique Genève	1
2023	Basler Ruder-Club	289
2023	Belvoir RC Zürich	201
2023	Seeclub Zürich	172
2023	Grasshopper Club Zürich	147
2023	Rowing Club Bern	99
2023	Seeclub Luzern	89
2023	Polytechniker Ruderclub Zürich	75
2023	Ruder Club Zürich	59
2023	Ruderclub Erlenbach	56
2023	Seeclub Zug	51
2023	Rowing Club Lausanne	51
2023	RC Schaffhausen	47
2023	Club Canottieri Lugano	46
2023	Forward RC Morges	33
2023	Seeclub Küsnacht	24
2023	RC Blauweiss Basel	22
2023	Aviron Romand Zürich	20
2023	Ruderclub Baden	20
2023	Club Aviron Vevey	20
2023	Nordiska Zürich	14
2023	Rudergesellschaft Zürich	13
2023	Solothurner RC	13
2023	Ruderclub Thalwil	13
2023	Seeclub Stansstad	7
2023	Lausanne-Sports Aviron	7
2023	RC Uster	7
2023	RC Aarburg	5
2023	Ruderclub Sarnen	5
2023	Seeclub Stäfa	5
2023	Club Aviron Vésenaz	5
2023	Seeclub Richterswil	4
2023	RC Kaufleuten Zürich	4
2023	SC Locarno	3
2023	Ruderclub Cham	3
2023	Seeclub Sempach	2
2023	Seeclub Sursee	2
2023	RC Hallwilersee	2
2023	RC Olten	1
2023	Association Romande Aviron	1
2024	Basler Ruder-Club	171
2024	Belvoir RC Zürich	152
2024	Seeclub Zürich	99
2024	Ruderclub Zürich	60
2024	Rowing Club Bern	54
2024	Rowing Club Lausanne	52
2024	Grasshopper Club Zürich	51
2024	Seeclub Luzern	49
2024	Ruderclub Baden	39
2024	CA Vevey	35
2024	Seeclub Zug	26
2024	RC Schaffhausen	26
2024	Polytechniker RC Zürich	24
2024	Ruderclub Erlenbach	19
2024	RC Blauweiss Basel	17
2024	Lausanne Sports Aviron	17
2024	Solothurner RC	16
2024	Ruderclub Olten	15
2024	Ruderclub Thalwil	8
2024	Seeclub Richterswil	5
2024	Ruderclub Wohlensee	5
2024	Seeclub Küsnacht	4
2024	Ruderclub Aarburg	3
2024	CC Lugano	3
2024	FRC Morges	2
2024	Ruderclub Sarnen	2
2024	CA Vésenaz	2
